0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
94.44077,78.548,14.80273,61.10477,63.15,66.489,158.3,44.2191,111.905,10.08,78.134,32,38.7,41.176,13.36,19.283,6.905,21.022,5.099,10.829,11.78,6.1,189.799,3.64,24.00352,211.6283,9.58,52.15,13.669,5.89,8.831,6.19,84.058,4.69,60.839,65.55,16.105,20.769,50.11,49.063,5.02,5.27,32.794,81.248,41.8,15.58,30.535,23.654,6.1,3.83
93.55906,77.71,14.64504,60.8117,62.85,65.712,156.8,43.7305,111.509,9.9,77.197,31.8,38.2,41.078,13.12,19.108,6.776,20.536,5.039,10.751,11.58,5.89,188.413,3.61,23.56174,209.2347,9.54,51.35,13.46,5.76,8.675,6.06,83.369,4.66,60.352,64.65,15.54,20.137,49.71,48.964,4.93,5.14,32.989,81.1,41.45,15.18,30.29,23.159,5.99,3.78
93.70602,77.75,14.66476,66.08693,63,65.712,158.7,44.3657,112.4,9.86,77.641,31.5,38.6,40.98,13.22,19.361,6.697,20.536,5.019,10.712,11.5,5.8,188.116,3.6,23.61082,211.8277,9.55,51.3,13.423,5.68,8.616,6.05,83.172,4.66,60.401,64.6,15.052,20.137,49.91,49.655,4.91,5.15,32.891,81.248,41.45,15.12,30.241,23.208,5.94,3.78
93.95094,77,14.76331,65.79386,64.35,65.615,159.9,44.61,113.3,9.96,78.577,31.85,38.7,40.882,13.24,19.827,6.737,20.73,5.139,10.868,11.5,5.84,189.799,3.6,24.15078,214.8196,9.59,51.15,13.612,5.7,8.704,6.25,83.27,4.67,60.693,65.05,15.267,20.818,50.15,48.175,5.06,5.28,32.891,84.012,41.75,15.42,30.976,23.753,6.06,3.9
94.19586,77.05,14.72389,66.08693,63.5,65.567,158.8,44.7566,112.1,9.8,79.07,31.75,39.5,41.078,13.1,19.584,6.875,20.925,5.069,10.81,11.6,5.85,189.997,3.58,24.34713,214.0218,9.55,51.25,13.46,5.69,8.694,6.35,82.876,4.73,61.034,64.85,15.481,21.061,50.59,47.829,5.09,5.36,33.524,82.679,41.95,15.5,31.025,23.753,6.07,3.93
94.93061,78,14.76331,67.11267,63.7,65.421,157.4,44.5123,112,9.77,78.38,31.6,39.4,41.127,13.04,19.487,6.856,20.876,5.059,10.77,11.44,5.81,192.668,3.69,24.4453,214.0218,9.56,50.95,13.423,5.66,8.596,6.3,82.334,4.75,60.693,65.7,15.364,21.304,50.5,47.829,5.06,5.28,33.573,82.432,42,15.34,31.074,23.654,6.03,3.89
94.93061,79.1,14.96042,67.21036,64.35,65.906,160,45.1475,114.3,9.94,77.789,32.55,40,41.422,13.42,19.681,6.925,21.07,5.179,11.162,11.12,5.99,195.34,3.73,24.838,220.2051,10.06,52.4,13.65,5.84,8.909,6.42,84.354,4.81,61.083,66.7,15.891,22.18,50.99,49.162,5.19,5.42,33.816,84.357,43,15.74,31.221,24.545,6.18,4
95.12654,79.4,14.86186,67.06383,64.15,66.198,160,45.1475,114.9,9.82,76.951,32,40.45,41.863,13.48,19.681,6.935,21.216,5.189,11.025,11.28,5.98,194.45,3.83,24.4453,221.4019,10.3,52.35,13.593,5.86,8.909,6.44,85.882,4.86,60.888,66.7,16.047,21.937,51.18,49.162,5.16,5.42,34.156,85.048,43,15.76,31.466,24.792,6.19,3.97
95.02858,80.15,13.60038,66.91729,63.5,66.246,159.3,45.8315,114.8,9.88,76.852,32.05,41.6,42.158,13.58,19.924,6.965,21.216,5.169,11.103,11.2,6.01,198.309,3.83,24.05261,227.5851,10.2,52.8,14.143,5.87,8.86,6.45,89.035,4.9,61.18,67.55,18.659,21.402,51.87,49.261,5.19,5.24,34.692,84.259,43.4,15.5,31.515,24.94,6.2,3.97
94.97959,80.5,13.56454,66.91729,63.7,66.101,160,46.4178,115.1,9.97,76.655,32.05,41.45,42.501,13.94,20.167,6.984,21.362,5.199,11.28,11.36,6.11,197.616,3.81,24.34713,228.1835,10.18,52.7,14.257,5.9,8.87,6.5,89.035,4.93,60.888,63.05,18.425,21.791,52.41,49.507,5.22,5.24,34.351,85.345,44.2,15.6,31.515,24.94,6.19,3.99
94.48975,80.35,13.70789,66.47769,63.1,65.033,158.4,46.9553,114.9,9.85,76.211,31.8,41.3,42.06,13.84,19.973,7.054,21.07,5.029,11.045,11.02,6.1,194.351,3.72,23.90535,224.5932,10.08,52.85,13.84,5.79,8.714,6.36,89.035,4.91,60.157,60,18.308,21.45,51.87,49.261,5.14,5.16,34.108,85.394,43.25,15.28,31.172,24.05,6.09,3.93
95.81232,80.45,13.79748,67.40574,63,64.984,158.1,43.4418,114.9,9.92,76.063,32.15,41.7,41.961,13.98,20.07,7.173,21.167,5.089,11.005,11,6.13,194.351,3.71,23.51265,222.3992,10.12,53,13.764,5.79,8.675,6.4,85.98,4.93,60.644,59.9,18.133,21.742,52.8,49.557,5.17,5.18,34.302,94.032,43.65,15.24,31.172,24.05,6.11,3.94
95.81232,80.6,13.79748,67.40574,63,65.227,157.4,42.9087,114.3,9.77,76.655,32.3,41.6,42.158,13.84,20.119,7.074,21.41,5.149,10.849,11.28,6.2,194.351,3.71,23.3163,224.5932,10.46,52.95,13.593,5.78,9.016,6.39,85.192,4.91,60.352,59.85,18.094,21.839,53.04,49.458,5.16,5.14,34.108,96.747,43.85,15.26,31.76,23.753,6.09,3.92
94.88163,80.9,13.85124,66.38,62.75,65.033,157.3,42.8199,114.4,9.64,76.704,32.15,41.2,42.158,13.82,20.021,7.093,21.653,5.179,10.751,11.18,6.21,192.965,3.72,22.28548,224.1943,10.52,53.15,13.385,5.75,9.016,6.33,84.945,4.88,60.157,59.45,17.821,21.256,52.8,48.668,5.12,5.02,33.913,93.983,43.5,15.12,31.466,23.555,6.05,3.87
94.93061,81.3,13.88708,67.25,63.3,65.227,158.4,42.8199,114.4,9.66,77.345,32.35,42.65,42.55,13.82,20.021,7.103,21.507,5.259,10.868,11.2,6.28,193.361,3.76,22.23639,225.3911,10.48,53.9,13.404,5.77,9.084,6.38,85.537,5.08,60.06,59.75,18.035,21.304,52.31,48.668,5.15,5.09,35.276,94.081,43.8,15.38,31.417,23.802,6.09,3.91
